    1002
 0.00000  0.00000  0.00000
 0.01668  0.01667 -0.00822
 0.03334  0.03331 -0.01642
 0.06658  0.06650 -0.03279
 0.09960  0.09949 -0.04906
 0.13230  0.13216 -0.06517
 0.16459  0.16441 -0.08107
 0.19635  0.19613 -0.09672
 0.22750  0.22725 -0.11206
 0.25794  0.25766 -0.12706
 0.28758  0.28728 -0.14166
 0.31636  0.31603 -0.15584
 0.34419  0.34383 -0.16955
 0.37100  0.37063 -0.18276
 0.39674  0.39637 -0.19544
 0.42135  0.42098 -0.20757
 0.44478  0.44443 -0.21912
 0.46700  0.46669 -0.23008
 0.48798  0.48772 -0.24044
 0.50769  0.50751 -0.25017
 0.52613  0.52604 -0.25928
 0.54327  0.54332 -0.26777
 0.55913  0.55935 -0.27562
 0.57371  0.57415 -0.28286
 0.58703  0.58772 -0.28949
 0.59910  0.60010 -0.29551
 0.60996  0.61132 -0.30096
 0.61963  0.62142 -0.30583
 0.62816  0.63045 -0.31016
 0.63559  0.63845 -0.31396
 0.64197  0.64546 -0.31726
 0.64734  0.65156 -0.32008
 0.65176  0.65680 -0.32246
 0.65529  0.66123 -0.32442
 0.65798  0.66492 -0.32600
 0.65989  0.66794 -0.32721
 0.66108  0.67034 -0.32809
 0.66161  0.67218 -0.32868
 0.66154  0.67354 -0.32899
 0.66092  0.67446 -0.32907
 0.65981  0.67501 -0.32893
 0.65826  0.67525 -0.32860
 0.65632  0.67522 -0.32811
 0.65405  0.67498 -0.32748
 0.65147  0.67457 -0.32674
 0.64864  0.67404 -0.32590
 0.64558  0.67342 -0.32499
 0.64234  0.67276 -0.32402
 0.63894  0.67207 -0.32300
 0.63541  0.67140 -0.32195
 0.63176  0.67077 -0.32087
 0.62802  0.67018 -0.31979
 0.62419  0.66967 -0.31869
 0.62029  0.66923 -0.31760
 0.61632  0.66889 -0.31651
 0.61229  0.66864 -0.31542
 0.60820  0.66849 -0.31434
 0.60404  0.66844 -0.31326
 0.59980  0.66848 -0.31218
 0.59549  0.66861 -0.31110
 0.59109  0.66882 -0.31001
 0.58659  0.66911 -0.30891
 0.58198  0.66946 -0.30779
 0.57726  0.66987 -0.30664
 0.57240  0.67032 -0.30547
 0.56740  0.67080 -0.30426
 0.56224  0.67129 -0.30301
 0.55692  0.67180 -0.30171
 0.55141  0.67230 -0.30036
 0.54572  0.67279 -0.29894
 0.53984  0.67326 -0.29746
 0.53375  0.67369 -0.29591
 0.52746  0.67408 -0.29428
 0.52096  0.67443 -0.29258
 0.51424  0.67472 -0.29080
 0.50730  0.67496 -0.28894
 0.50015  0.67514 -0.28699
 0.49279  0.67527 -0.28496
 0.48522  0.67533 -0.28285
 0.47745  0.67534 -0.28065
 0.46948  0.67529 -0.27837
 0.46132  0.67519 -0.27601
 0.45298  0.67505 -0.27358
 0.44447  0.67486 -0.27107
 0.43580  0.67464 -0.26849
 0.42698  0.67439 -0.26585
 0.41801  0.67412 -0.26314
 0.40892  0.67383 -0.26036
 0.39971  0.67354 -0.25754
 0.39039  0.67325 -0.25465
 0.38098  0.67296 -0.25172
 0.37147  0.67269 -0.24874
 0.36189  0.67244 -0.24572
 0.35225  0.67222 -0.24266
 0.34254  0.67202 -0.23956
 0.33278  0.67186 -0.23642
 0.32297  0.67174 -0.23325
 0.31312  0.67166 -0.23004
 0.30324  0.67162 -0.22680
 0.29332  0.67163 -0.22352
 0.28337  0.67168 -0.22021
 0.27339  0.67176 -0.21687
 0.26339  0.67189 -0.21349
 0.25336  0.67206 -0.21007
 0.24330  0.67225 -0.20661
 0.23322  0.67247 -0.20312
 0.22311  0.67272 -0.19958
 0.21298  0.67298 -0.19599
 0.20281  0.67326 -0.19236
 0.19262  0.67353 -0.18867
 0.18239  0.67381 -0.18494
 0.17213  0.67408 -0.18114
 0.16183  0.67434 -0.17729
 0.15150  0.67458 -0.17338
 0.14114  0.67479 -0.16940
 0.13075  0.67497 -0.16536
 0.12032  0.67512 -0.16126
 0.10986  0.67523 -0.15709
 0.09938  0.67530 -0.15285
 0.08886  0.67532 -0.14854
 0.07833  0.67530 -0.14417
 0.06778  0.67524 -0.13973
 0.05722  0.67513 -0.13522
 0.04665  0.67498 -0.13065
 0.03607  0.67479 -0.12602
 0.02551  0.67456 -0.12132
 0.01495  0.67430 -0.11656
 0.00441  0.67401 -0.11175
-0.00611  0.67369 -0.10688
-0.01659  0.67336 -0.10197
-0.02703  0.67302 -0.09700
-0.03744  0.67268 -0.09199
-0.04778  0.67234 -0.08693
-0.05808  0.67201 -0.08183
-0.06830  0.67170 -0.07670
-0.07846  0.67141 -0.07153
-0.08855  0.67115 -0.06633
-0.09856  0.67094 -0.06109
-0.10850  0.67076 -0.05582
-0.11835  0.67064 -0.05053
-0.12812  0.67057 -0.04521
-0.13780  0.67055 -0.03985
-0.14740  0.67059 -0.03447
-0.15692  0.67069 -0.02906
-0.16637  0.67085 -0.02361
-0.17573  0.67106 -0.01813
-0.18503  0.67132 -0.01262
-0.19426  0.67163 -0.00706
-0.20342  0.67199 -0.00146
-0.21253  0.67237  0.00419
-0.22159  0.67278  0.00988
-0.23060  0.67320  0.01564
-0.23958  0.67363  0.02146
-0.24853  0.67403  0.02735
-0.25745  0.67442  0.03331
-0.26637  0.67475  0.03935
-0.27527  0.67503  0.04547
-0.28418  0.67522  0.05169
-0.29309  0.67532  0.05800
-0.30202  0.67530  0.06441
-0.31097  0.67514  0.07094
-0.31994  0.67482  0.07757
-0.32893  0.67432  0.08433
-0.33796  0.67361  0.09120
-0.34703  0.67268  0.09821
-0.35613  0.67151  0.10534
-0.36527  0.67006  0.11260
-0.37444  0.66833  0.12000
-0.38365  0.66630  0.12754
-0.39290  0.66394  0.13521
-0.40217  0.66123  0.14302
-0.41146  0.65816  0.15096
-0.42078  0.65471  0.15904
-0.43010  0.65087  0.16725
-0.43943  0.64663  0.17558
-0.44876  0.64197  0.18404
-0.45806  0.63688  0.19262
-0.46734  0.63135  0.20130
-0.47659  0.62538  0.21010
-0.48578  0.61897  0.21898
-0.49490  0.61210  0.22796
-0.50395  0.60478  0.23702
-0.51291  0.59701  0.24615
-0.52175  0.58879  0.25533
-0.53048  0.58012  0.26456
-0.53907  0.57103  0.27383
-0.54750  0.56150  0.28313
-0.55577  0.55156  0.29243
-0.56386  0.54121  0.30174
-0.57174  0.53048  0.31103
-0.57941  0.51937  0.32029
-0.58686  0.50791  0.32952
-0.59406  0.49611  0.33869
-0.60101  0.48401  0.34779
-0.60769  0.47162  0.35681
-0.61409  0.45896  0.36575
-0.62020  0.44607  0.37457
-0.62602  0.43297  0.38328
-0.63152  0.41969  0.39186
-0.63671  0.40626  0.40031
-0.64157  0.39272  0.40860
-0.64611  0.37908  0.41673
-0.65032  0.36539  0.42469
-0.65418  0.35167  0.43248
-0.65772  0.33797  0.44008
-0.66091  0.32430  0.44750
-0.66377  0.31070  0.45472
-0.66629  0.29721  0.46173
-0.66848  0.28385  0.46855
-0.67034  0.27066  0.47516
-0.67188  0.25766  0.48156
-0.67311  0.24488  0.48776
-0.67403  0.23235  0.49375
-0.67466  0.22008  0.49953
-0.67500  0.20811  0.50512
-0.67506  0.19645  0.51051
-0.67485  0.18512  0.51570
-0.67440  0.17414  0.52071
-0.67371  0.16352  0.52554
-0.67279  0.15327  0.53019
-0.67166  0.14340  0.53468
-0.67033  0.13391  0.53902
-0.66882  0.12481  0.54320
-0.66713  0.11609  0.54725
-0.66530  0.10776  0.55117
-0.66332  0.09980  0.55497
-0.66122  0.09221  0.55866
-0.65900  0.08497  0.56225
-0.65669  0.07807  0.56575
-0.65428  0.07150  0.56918
-0.65180  0.06523  0.57253
-0.64925  0.05924  0.57582
-0.64664  0.05352  0.57906
-0.64399  0.04803  0.58225
-0.64129  0.04274  0.58540
-0.63857  0.03764  0.58852
-0.63582  0.03269  0.59162
-0.63304  0.02786  0.59469
-0.63025  0.02312  0.59774
-0.62744  0.01845  0.60078
-0.62462  0.01381  0.60381
-0.62179  0.00917  0.60682
-0.61894  0.00451  0.60982
-0.61608 -0.00020  0.61280
-0.61320 -0.00499  0.61578
-0.61031 -0.00987  0.61873
-0.60739 -0.01489  0.62166
-0.60444 -0.02004  0.62457
-0.60146 -0.02536  0.62744
-0.59845 -0.03085  0.63028
-0.59539 -0.03652  0.63308
-0.59228 -0.04240  0.63583
-0.58913 -0.04848  0.63853
-0.58591 -0.05477  0.64117
-0.58263 -0.06126  0.64374
-0.57928 -0.06797  0.64623
-0.57585 -0.07488  0.64864
-0.57234 -0.08198  0.65097
-0.56875 -0.08927  0.65320
-0.56508 -0.09673  0.65533
-0.56131 -0.10435  0.65736
-0.55745 -0.11212  0.65928
-0.55350 -0.12000  0.66109
-0.54945 -0.12799  0.66279
-0.54531 -0.13605  0.66436
-0.54108 -0.14418  0.66582
-0.53676 -0.15234  0.66717
-0.53234 -0.16051  0.66839
-0.52784 -0.16866  0.66950
-0.52326 -0.17678  0.67050
-0.51860 -0.18484  0.67138
-0.51387 -0.19281  0.67216
-0.50908 -0.20067  0.67283
-0.50422 -0.20841  0.67341
-0.49931 -0.21600  0.67390
-0.49435 -0.22343  0.67430
-0.48935 -0.23068  0.67463
-0.48431 -0.23774  0.67488
-0.47925 -0.24459  0.67507
-0.47417 -0.25122  0.67520
-0.46907 -0.25763  0.67529
-0.46397 -0.26382  0.67533
-0.45886 -0.26977  0.67534
-0.45376 -0.27550  0.67532
-0.44866 -0.28100  0.67528
-0.44358 -0.28627  0.67523
-0.43852 -0.29132  0.67516
-0.43347 -0.29616  0.67510
-0.42845 -0.30080  0.67503
-0.42346 -0.30525  0.67496
-0.41849 -0.30951  0.67490
-0.41355 -0.31361  0.67485
-0.40864 -0.31756  0.67481
-0.40375 -0.32137  0.67478
-0.39890 -0.32505  0.67477
-0.39406 -0.32862  0.67476
-0.38926 -0.33210  0.67477
-0.38447 -0.33549  0.67478
-0.37971 -0.33882  0.67481
-0.37497 -0.34210  0.67484
-0.37024 -0.34533  0.67487
-0.36552 -0.34853  0.67491
-0.36082 -0.35171  0.67494
-0.35612 -0.35488  0.67497
-0.35144 -0.35805  0.67500
-0.34675 -0.36122  0.67502
-0.34207 -0.36440  0.67502
-0.33738 -0.36758  0.67502
-0.33270 -0.37078  0.67500
-0.32801 -0.37399  0.67496
-0.32332 -0.37722  0.67491
-0.31863 -0.38046  0.67485
-0.31394 -0.38370  0.67477
-0.30924 -0.38695  0.67468
-0.30454 -0.39020  0.67457
-0.29984 -0.39345  0.67446
-0.29514 -0.39669  0.67434
-0.29045 -0.39991  0.67421
-0.28575 -0.40312  0.67408
-0.28106 -0.40629  0.67395
-0.27638 -0.40944  0.67382
-0.27171 -0.41256  0.67370
-0.26705 -0.41563  0.67359
-0.26239 -0.41867  0.67350
-0.25776 -0.42166  0.67343
-0.25313 -0.42461  0.67337
-0.24852 -0.42751  0.67334
-0.24393 -0.43037  0.67334
-0.23935 -0.43319  0.67335
-0.23478 -0.43598  0.67340
-0.23022 -0.43873  0.67347
-0.22568 -0.44145  0.67357
-0.22114 -0.44415  0.67368
-0.21661 -0.44685  0.67382
-0.21207 -0.44954  0.67397
-0.20754 -0.45224  0.67413
-0.20299 -0.45496  0.67429
-0.19843 -0.45772  0.67444
-0.19386 -0.46051  0.67458
-0.18925 -0.46337  0.67470
-0.18462 -0.46629  0.67478
-0.17995 -0.46928  0.67482
-0.17523 -0.47238  0.67480
-0.17046 -0.47557  0.67470
-0.16563 -0.47887  0.67453
-0.16073 -0.48230  0.67425
-0.15576 -0.48586  0.67387
-0.15072 -0.48956  0.67336
-0.14559 -0.49340  0.67271
-0.14036 -0.49739  0.67191
-0.13505 -0.50153  0.67095
-0.12963 -0.50582  0.66980
-0.12412 -0.51026  0.66847
-0.11850 -0.51485  0.66695
-0.11277 -0.51959  0.66521
-0.10694 -0.52446  0.66326
-0.10100 -0.52946  0.66109
-0.09495 -0.53458  0.65869
-0.08880 -0.53980  0.65605
-0.08255 -0.54512  0.65319
-0.07621 -0.55052  0.65010
-0.06978 -0.55599  0.64677
-0.06326 -0.56150  0.64322
-0.05666 -0.56704  0.63945
-0.05000 -0.57259  0.63547
-0.04328 -0.57814  0.63128
-0.03650 -0.58365  0.62689
-0.02968 -0.58912  0.62233
-0.02283 -0.59452  0.61760
-0.01596 -0.59984  0.61271
-0.00907 -0.60505  0.60769
-0.00219 -0.61015  0.60254
 0.00469 -0.61510  0.59730
 0.01154 -0.61990  0.59197
