    1002
 0.00000  0.00000  0.00000
 0.00389  0.00388 -0.00201
 0.00778  0.00775 -0.00402
 0.01556  0.01551 -0.00804
 0.02334  0.02326 -0.01205
 0.03111  0.03100 -0.01607
 0.03887  0.03874 -0.02008
 0.04663  0.04647 -0.02408
 0.05438  0.05419 -0.02808
 0.06211  0.06189 -0.03208
 0.06983  0.06959 -0.03606
 0.07754  0.07727 -0.04004
 0.08523  0.08493 -0.04401
 0.09290  0.09258 -0.04798
 0.10056  0.10020 -0.05193
 0.10819  0.10781 -0.05587
 0.11579  0.11539 -0.05980
 0.12338  0.12295 -0.06371
 0.13093  0.13048 -0.06762
 0.13846  0.13799 -0.07151
 0.14596  0.14546 -0.07538
 0.15343  0.15291 -0.07924
 0.16086  0.16032 -0.08308
 0.16827  0.16770 -0.08690
 0.17563  0.17504 -0.09070
 0.18295  0.18235 -0.09449
 0.19024  0.18962 -0.09826
 0.19749  0.19685 -0.10200
 0.20469  0.20404 -0.10572
 0.21185  0.21119 -0.10942
 0.21896  0.21830 -0.11310
 0.22602  0.22536 -0.11675
 0.23303  0.23238 -0.12038
 0.24000  0.23935 -0.12399
 0.24691  0.24627 -0.12756
 0.25376  0.25314 -0.13112
 0.26056  0.25997 -0.13464
 0.26730  0.26674 -0.13813
 0.27398  0.27346 -0.14160
 0.28059  0.28013 -0.14504
 0.28715  0.28674 -0.14844
 0.29363  0.29330 -0.15182
 0.30006  0.29981 -0.15516
 0.30641  0.30625 -0.15847
 0.31269  0.31265 -0.16175
 0.31889  0.31898 -0.16499
 0.32503  0.32526 -0.16820
 0.33108  0.33147 -0.17138
 0.33706  0.33763 -0.17452
 0.34296  0.34373 -0.17762
 0.34877  0.34977 -0.18069
 0.35450  0.35575 -0.18371
 0.36014  0.36167 -0.18671
 0.36570  0.36753 -0.18966
 0.37116  0.37333 -0.19257
 0.37653  0.37906 -0.19544
 0.38181  0.38474 -0.19828
 0.38699  0.39036 -0.20107
 0.39207  0.39591 -0.20382
 0.39705  0.40141 -0.20653
 0.40193  0.40684 -0.20920
 0.40670  0.41222 -0.21182
 0.41136  0.41753 -0.21440
 0.41592  0.42279 -0.21694
 0.42036  0.42798 -0.21943
 0.42469  0.43312 -0.22188
 0.42890  0.43820 -0.22428
 0.43300  0.44323 -0.22663
 0.43697  0.44820 -0.22895
 0.44082  0.45311 -0.23121
 0.44455  0.45796 -0.23343
 0.44814  0.46277 -0.23559
 0.45161  0.46751 -0.23772
 0.45495  0.47221 -0.23979
 0.45815  0.47685 -0.24181
 0.46122  0.48145 -0.24379
 0.46414  0.48599 -0.24571
 0.46693  0.49049 -0.24759
 0.46957  0.49493 -0.24941
 0.47207  0.49934 -0.25118
 0.47442  0.50369 -0.25291
 0.47662  0.50800 -0.25458
 0.47866  0.51227 -0.25619
 0.48056  0.51650 -0.25776
 0.48229  0.52068 -0.25927
 0.48387  0.52483 -0.26073
 0.48529  0.52894 -0.26214
 0.48654  0.53301 -0.26349
 0.48763  0.53705 -0.26478
 0.48855  0.54105 -0.26602
 0.48931  0.54501 -0.26721
 0.48989  0.54895 -0.26834
 0.49030  0.55286 -0.26941
 0.49053  0.55673 -0.27042
 0.49059  0.56058 -0.27138
 0.49047  0.56440 -0.27228
 0.49017  0.56819 -0.27311
 0.48968  0.57196 -0.27389
 0.48901  0.57571 -0.27461
 0.48816  0.57944 -0.27527
 0.48712  0.58314 -0.27587
 0.48589  0.58682 -0.27640
 0.48447  0.59048 -0.27688
 0.48286  0.59413 -0.27729
 0.48105  0.59775 -0.27763
 0.47906  0.60136 -0.27791
 0.47686  0.60496 -0.27812
 0.47447  0.60854 -0.27827
 0.47188  0.61210 -0.27835
 0.46909  0.61565 -0.27836
 0.46611  0.61919 -0.27831
 0.46292  0.62271 -0.27818
 0.45953  0.62622 -0.27798
 0.45594  0.62972 -0.27771
 0.45214  0.63321 -0.27737
 0.44815  0.63668 -0.27695
 0.44394  0.64014 -0.27646
 0.43954  0.64359 -0.27589
 0.43493  0.64703 -0.27525
 0.43012  0.65046 -0.27452
 0.42510  0.65387 -0.27372
 0.41988  0.65727 -0.27284
 0.41445  0.66066 -0.27187
 0.40882  0.66403 -0.27082
 0.40299  0.66739 -0.26968
 0.39695  0.67074 -0.26846
 0.39071  0.67406 -0.26716
 0.38427  0.67737 -0.26576
 0.37763  0.68066 -0.26427
 0.37079  0.68393 -0.26270
 0.36375  0.68719 -0.26103
 0.35651  0.69041 -0.25926
 0.34908  0.69362 -0.25740
 0.34145  0.69680 -0.25544
 0.33363  0.69995 -0.25338
 0.32561  0.70307 -0.25123
 0.31741  0.70616 -0.24897
 0.30902  0.70922 -0.24661
 0.30044  0.71224 -0.24414
 0.29168  0.71523 -0.24157
 0.28273  0.71818 -0.23889
 0.27361  0.72108 -0.23610
 0.26431  0.72394 -0.23320
 0.25484  0.72675 -0.23018
 0.24520  0.72951 -0.22706
 0.23538  0.73222 -0.22382
 0.22541  0.73488 -0.22046
 0.21527  0.73747 -0.21698
 0.20497  0.74001 -0.21339
 0.19452  0.74247 -0.20967
 0.18391  0.74488 -0.20584
 0.17316  0.74721 -0.20188
 0.16227  0.74946 -0.19780
 0.15123  0.75164 -0.19359
 0.14006  0.75374 -0.18925
 0.12876  0.75575 -0.18479
 0.11733  0.75767 -0.18020
 0.10578  0.75950 -0.17548
 0.09411  0.76124 -0.17063
 0.08232  0.76288 -0.16565
 0.07043  0.76441 -0.16054
 0.05844  0.76584 -0.15529
 0.04634  0.76716 -0.14992
 0.03416  0.76837 -0.14441
 0.02188  0.76946 -0.13877
