    1002
 0.00000  0.00000  0.00000
 0.01159  0.01157 -0.00593
 0.02318  0.02313 -0.01186
 0.04632  0.04622 -0.02370
 0.06939  0.06925 -0.03551
 0.09237  0.09218 -0.04726
 0.11520  0.11497 -0.05895
 0.13787  0.13759 -0.07055
 0.16034  0.16001 -0.08204
 0.18258  0.18220 -0.09342
 0.20455  0.20413 -0.10467
 0.22623  0.22577 -0.11576
 0.24758  0.24708 -0.12669
 0.26858  0.26804 -0.13743
 0.28920  0.28863 -0.14799
 0.30941  0.30881 -0.15833
 0.32919  0.32857 -0.16846
 0.34851  0.34787 -0.17835
 0.36735  0.36670 -0.18800
 0.38569  0.38504 -0.19739
 0.40350  0.40287 -0.20652
 0.42077  0.42018 -0.21537
 0.43748  0.43694 -0.22395
 0.45362  0.45314 -0.23223
 0.46916  0.46878 -0.24021
 0.48410  0.48384 -0.24790
 0.49842  0.49831 -0.25527
 0.51211  0.51220 -0.26233
 0.52516  0.52548 -0.26908
 0.53757  0.53817 -0.27551
 0.54934  0.55025 -0.28161
 0.56044  0.56174 -0.28740
 0.57089  0.57263 -0.29286
 0.58068  0.58292 -0.29801
 0.58981  0.59263 -0.30283
 0.59828  0.60175 -0.30734
 0.60610  0.61030 -0.31153
 0.61327  0.61829 -0.31541
 0.61979  0.62572 -0.31898
 0.62567  0.63262 -0.32226
 0.63093  0.63898 -0.32523
 0.63556  0.64484 -0.32792
 0.63958  0.65020 -0.33032
 0.64300  0.65508 -0.33244
 0.64584  0.65950 -0.33430
 0.64810  0.66347 -0.33589
 0.64980  0.66701 -0.33723
 0.65096  0.67015 -0.33832
 0.65158  0.67291 -0.33918
 0.65170  0.67529 -0.33982
 0.65132  0.67733 -0.34023
 0.65046  0.67904 -0.34044
 0.64914  0.68045 -0.34045
 0.64737  0.68157 -0.34027
 0.64518  0.68242 -0.33991
 0.64258  0.68303 -0.33938
 0.63960  0.68342 -0.33869
 0.63624  0.68360 -0.33786
 0.63254  0.68360 -0.33688
 0.62850  0.68343 -0.33577
 0.62414  0.68311 -0.33453
 0.61949  0.68267 -0.33318
 0.61455  0.68211 -0.33173
 0.60935  0.68146 -0.33018
 0.60390  0.68072 -0.32854
 0.59822  0.67993 -0.32681
 0.59232  0.67909 -0.32502
 0.58622  0.67821 -0.32315
 0.57993  0.67731 -0.32122
 0.57346  0.67640 -0.31924
 0.56683  0.67550 -0.31720
 0.56004  0.67460 -0.31512
 0.55312  0.67373 -0.31300
 0.54606  0.67290 -0.31084
 0.53888  0.67210 -0.30865
 0.53158  0.67135 -0.30643
 0.52418  0.67065 -0.30418
 0.51668  0.67002 -0.30191
 0.50908  0.66944 -0.29961
 0.50139  0.66894 -0.29730
 0.49362  0.66850 -0.29496
 0.48577  0.66814 -0.29261
 0.47783  0.66785 -0.29023
 0.46983  0.66764 -0.28784
 0.46175  0.66751 -0.28543
 0.45360  0.66744 -0.28300
 0.44537  0.66746 -0.28054
 0.43708  0.66754 -0.27807
 0.42871  0.66770 -0.27557
 0.42027  0.66792 -0.27305
 0.41177  0.66821 -0.27050
 0.40318  0.66855 -0.26792
 0.39452  0.66895 -0.26531
 0.38579  0.66941 -0.26266
 0.37698  0.66991 -0.25998
 0.36809  0.67045 -0.25726
 0.35912  0.67104 -0.25449
 0.35007  0.67165 -0.25168
 0.34093  0.67229 -0.24883
 0.33171  0.67295 -0.24592
 0.32241  0.67363 -0.24296
 0.31302  0.67432 -0.23994
 0.30354  0.67501 -0.23687
 0.29397  0.67571 -0.23374
 0.28431  0.67640 -0.23054
 0.27457  0.67707 -0.22728
 0.26474  0.67774 -0.22395
 0.25483  0.67838 -0.22055
 0.24483  0.67900 -0.21708
 0.23475  0.67959 -0.21354
 0.22458  0.68016 -0.20992
 0.21434  0.68068 -0.20624
 0.20402  0.68117 -0.20247
 0.19363  0.68162 -0.19863
 0.18318  0.68203 -0.19472
 0.17265  0.68239 -0.19072
 0.16207  0.68271 -0.18666
 0.15143  0.68298 -0.18251
 0.14074  0.68320 -0.17829
 0.13000  0.68337 -0.17399
 0.11922  0.68350 -0.16962
 0.10840  0.68357 -0.16518
 0.09756  0.68360 -0.16066
 0.08669  0.68359 -0.15607
 0.07580  0.68352 -0.15141
 0.06490  0.68342 -0.14668
 0.05399  0.68327 -0.14188
 0.04309  0.68309 -0.13702
 0.03218  0.68286 -0.13209
 0.02129  0.68260 -0.12711
 0.01041  0.68231 -0.12206
-0.00044  0.68199 -0.11695
-0.01127  0.68164 -0.11178
-0.02207  0.68127 -0.10656
-0.03283  0.68087 -0.10128
-0.04355  0.68045 -0.09595
-0.05423  0.68002 -0.09056
-0.06486  0.67957 -0.08513
-0.07544  0.67911 -0.07964
-0.08596  0.67864 -0.07411
-0.09643  0.67815 -0.06852
-0.10684  0.67766 -0.06289
-0.11719  0.67715 -0.05721
-0.12747  0.67664 -0.05148
-0.13769  0.67612 -0.04571
-0.14785  0.67560 -0.03988
-0.15795  0.67506 -0.03401
-0.16798  0.67451 -0.02809
-0.17794  0.67394 -0.02211
-0.18785  0.67336 -0.01609
-0.19769  0.67275 -0.01001
-0.20747  0.67213 -0.00388
-0.21720  0.67147  0.00231
-0.22687  0.67078  0.00856
-0.23648  0.67005  0.01487
-0.24604  0.66927  0.02124
-0.25555  0.66844  0.02767
-0.26501  0.66755  0.03417
-0.27442  0.66659  0.04074
-0.28380  0.66555  0.04739
-0.29313  0.66442  0.05410
-0.30242  0.66320  0.06090
-0.31167  0.66187  0.06777
-0.32088  0.66042  0.07472
-0.33007  0.65884  0.08175
-0.33921  0.65713  0.08887
-0.34833  0.65526  0.09608
-0.35741  0.65324  0.10337
-0.36647  0.65103  0.11075
-0.37548  0.64865  0.11823
-0.38447  0.64606  0.12579
-0.39342  0.64327  0.13345
-0.40234  0.64026  0.14119
-0.41122  0.63701  0.14903
-0.42005  0.63352  0.15696
-0.42885  0.62978  0.16498
-0.43759  0.62578  0.17308
-0.44628  0.62150  0.18127
-0.45492  0.61694  0.18955
-0.46349  0.61208  0.19790
-0.47200  0.60693  0.20633
-0.48042  0.60147  0.21483
-0.48877  0.59571  0.22340
-0.49703  0.58962  0.23203
-0.50519  0.58321  0.24072
-0.51325  0.57648  0.24946
-0.52119  0.56942  0.25825
-0.52902  0.56203  0.26707
-0.53671  0.55431  0.27593
-0.54426  0.54626  0.28481
-0.55166  0.53789  0.29370
-0.55890  0.52920  0.30260
-0.56598  0.52019  0.31150
-0.57287  0.51086  0.32039
-0.57958  0.50123  0.32925
-0.58609  0.49131  0.33809
-0.59240  0.48110  0.34689
-0.59849  0.47061  0.35564
-0.60436  0.45986  0.36434
-0.61000  0.44885  0.37296
-0.61539  0.43761  0.38151
-0.62055  0.42614  0.38997
-0.62544  0.41447  0.39834
-0.63008  0.40260  0.40660
-0.63445  0.39057  0.41475
-0.63856  0.37837  0.42278
-0.64238  0.36605  0.43067
-0.64593  0.35360  0.43843
-0.64920  0.34106  0.44604
-0.65218  0.32844  0.45350
-0.65488  0.31577  0.46080
-0.65729  0.30306  0.46794
-0.65942  0.29034  0.47490
-0.66126  0.27762  0.48169
-0.66282  0.26493  0.48831
-0.66409  0.25230  0.49474
-0.66509  0.23973  0.50099
-0.66582  0.22725  0.50705
-0.66627  0.21487  0.51292
-0.66646  0.20263  0.51861
-0.66640  0.19053  0.52410
-0.66608  0.17859  0.52941
-0.66551  0.16683  0.53453
-0.66471  0.15527  0.53947
-0.66369  0.14392  0.54422
-0.66244  0.13279  0.54880
-0.66098  0.12189  0.55320
-0.65932  0.11124  0.55742
-0.65747  0.10085  0.56149
-0.65543  0.09072  0.56539
-0.65322  0.08087  0.56913
-0.65085  0.07129  0.57273
-0.64833  0.06200  0.57618
-0.64567  0.05299  0.57950
-0.64288  0.04427  0.58269
-0.63996  0.03584  0.58575
-0.63694  0.02770  0.58870
-0.63381  0.01984  0.59154
-0.63059  0.01227  0.59428
-0.62729  0.00497  0.59692
-0.62391 -0.00205  0.59948
-0.62047 -0.00881  0.60196
-0.61697 -0.01532  0.60436
-0.61342 -0.02157  0.60670
-0.60983 -0.02759  0.60899
-0.60620 -0.03338  0.61121
-0.60254 -0.03896  0.61340
-0.59886 -0.04433  0.61554
-0.59516 -0.04952  0.61764
-0.59145 -0.05454  0.61972
-0.58772 -0.05939  0.62176
-0.58399 -0.06410  0.62379
-0.58026 -0.06867  0.62579
-0.57652 -0.07314  0.62778
-0.57279 -0.07750  0.62976
-0.56905 -0.08178  0.63172
-0.56532 -0.08599  0.63368
-0.56160 -0.09015  0.63562
-0.55787 -0.09426  0.63756
-0.55415 -0.09836  0.63949
-0.55043 -0.10244  0.64142
-0.54671 -0.10652  0.64333
-0.54300 -0.11062  0.64523
-0.53927 -0.11475  0.64713
-0.53554 -0.11892  0.64901
-0.53181 -0.12314  0.65087
-0.52806 -0.12742  0.65271
-0.52430 -0.13176  0.65453
-0.52052 -0.13619  0.65633
-0.51672 -0.14069  0.65810
-0.51290 -0.14529  0.65984
-0.50906 -0.14998  0.66154
-0.50518 -0.15478  0.66321
-0.50127 -0.15967  0.66483
-0.49733 -0.16466  0.66640
-0.49335 -0.16976  0.66792
-0.48932 -0.17496  0.66939
-0.48526 -0.18027  0.67080
-0.48115 -0.18567  0.67215
-0.47699 -0.19117  0.67343
-0.47278 -0.19676  0.67464
-0.46852 -0.20243  0.67579
-0.46421 -0.20819  0.67686
-0.45985 -0.21401  0.67785
-0.45543 -0.21991  0.67876
-0.45096 -0.22586  0.67960
-0.44644 -0.23185  0.68036
-0.44186 -0.23789  0.68103
-0.43724 -0.24395  0.68162
-0.43256 -0.25004  0.68214
-0.42783 -0.25613  0.68257
-0.42306 -0.26221  0.68292
-0.41825 -0.26828  0.68320
-0.41339 -0.27433  0.68340
-0.40849 -0.28034  0.68352
-0.40356 -0.28630  0.68358
-0.39860 -0.29220  0.68357
-0.39361 -0.29804  0.68350
-0.38859 -0.30379  0.68337
-0.38355 -0.30946  0.68318
-0.37850 -0.31503  0.68294
-0.37343 -0.32050  0.68266
-0.36836 -0.32585  0.68234
-0.36328 -0.33108  0.68199
-0.35820 -0.33618  0.68161
-0.35313 -0.34115  0.68121
-0.34806 -0.34597  0.68079
-0.34301 -0.35066  0.68036
-0.33797 -0.35520  0.67992
-0.33295 -0.35959  0.67949
-0.32795 -0.36383  0.67906
-0.32298 -0.36792  0.67865
-0.31804 -0.37187  0.67826
-0.31312 -0.37566  0.67788
-0.30825 -0.37931  0.67754
-0.30340 -0.38281  0.67723
-0.29859 -0.38618  0.67696
-0.29382 -0.38941  0.67672
