    1000
 0.00982  0.00979 -0.00560
 0.01964  0.01958 -0.01121
 0.03925  0.03914 -0.02240
 0.05883  0.05866 -0.03357
 0.07834  0.07812 -0.04471
 0.09778  0.09749 -0.05580
 0.11711  0.11677 -0.06684
 0.13632  0.13593 -0.07780
 0.15540  0.15495 -0.08869
 0.17431  0.17381 -0.09948
 0.19305  0.19249 -0.11017
 0.21159  0.21098 -0.12076
 0.22991  0.22925 -0.13121
 0.24800  0.24730 -0.14154
 0.26584  0.26509 -0.15172
 0.28341  0.28262 -0.16175
 0.30069  0.29987 -0.17162
 0.31768  0.31683 -0.18132
 0.33435  0.33348 -0.19084
 0.35068  0.34980 -0.20017
 0.36667  0.36579 -0.20931
 0.38229  0.38143 -0.21825
 0.39754  0.39670 -0.22697
 0.41240  0.41161 -0.23548
 0.42686  0.42613 -0.24376
 0.44091  0.44027 -0.25181
 0.45453  0.45401 -0.25963
 0.46771  0.46734 -0.26721
 0.48045  0.48025 -0.27454
 0.49273  0.49276 -0.28162
 0.50454  0.50483 -0.28845
 0.51589  0.51649 -0.29502
 0.52675  0.52771 -0.30133
 0.53712  0.53850 -0.30738
 0.54701  0.54886 -0.31317
 0.55639  0.55879 -0.31868
 0.56526  0.56828 -0.32393
 0.57363  0.57735 -0.32892
 0.58149  0.58599 -0.33363
 0.58883  0.59420 -0.33807
 0.59565  0.60199 -0.34225
 0.60196  0.60936 -0.34616
 0.60775  0.61633 -0.34980
 0.61302  0.62289 -0.35318
 0.61777  0.62904 -0.35630
 0.62201  0.63481 -0.35915
 0.62574  0.64020 -0.36175
 0.62895  0.64521 -0.36410
 0.63166  0.64985 -0.36620
 0.63386  0.65413 -0.36805
 0.63557  0.65807 -0.36965
 0.63679  0.66168 -0.37102
 0.63752  0.66495 -0.37216
 0.63778  0.66791 -0.37306
 0.63756  0.67057 -0.37375
 0.63688  0.67293 -0.37421
 0.63575  0.67502 -0.37447
 0.63417  0.67683 -0.37451
 0.63216  0.67839 -0.37436
 0.62973  0.67970 -0.37401
 0.62688  0.68078 -0.37347
 0.62362  0.68164 -0.37275
 0.61998  0.68229 -0.37185
 0.61595  0.68275 -0.37079
 0.61156  0.68302 -0.36956
 0.60681  0.68312 -0.36817
 0.60172  0.68306 -0.36663
 0.59630  0.68285 -0.36495
 0.59056  0.68251 -0.36313
 0.58451  0.68205 -0.36118
 0.57818  0.68147 -0.35911
 0.57156  0.68078 -0.35691
 0.56468  0.68001 -0.35461
 0.55755  0.67916 -0.35220
 0.55017  0.67824 -0.34969
 0.54257  0.67726 -0.34708
 0.53476  0.67623 -0.34439
 0.52675  0.67516 -0.34161
 0.51854  0.67405 -0.33875
 0.51017  0.67293 -0.33583
 0.50162  0.67179 -0.33283
 0.49293  0.67065 -0.32978
 0.48409  0.66951 -0.32666
 0.47512  0.66839 -0.32350
 0.46603  0.66727 -0.32028
 0.45684  0.66619 -0.31702
 0.44754  0.66513 -0.31372
 0.43815  0.66411 -0.31038
 0.42869  0.66313 -0.30700
 0.41915  0.66220 -0.30360
 0.40954  0.66132 -0.30017
 0.39988  0.66050 -0.29671
 0.39017  0.65974 -0.29322
 0.38042  0.65904 -0.28972
 0.37063  0.65841 -0.28620
 0.36081  0.65785 -0.28265
 0.35097  0.65737 -0.27909
 0.34110  0.65695 -0.27552
 0.33122  0.65662 -0.27193
 0.32133  0.65636 -0.26832
 0.31143  0.65618 -0.26470
 0.30153  0.65608 -0.26107
 0.29162  0.65605 -0.25742
 0.28171  0.65611 -0.25376
 0.27180  0.65624 -0.25008
 0.26190  0.65645 -0.24638
 0.25200  0.65673 -0.24267
 0.24210  0.65709 -0.23893
 0.23221  0.65752 -0.23518
 0.22232  0.65802 -0.23141
 0.21244  0.65858 -0.22761
 0.20256  0.65921 -0.22378
 0.19269  0.65990 -0.21993
 0.18282  0.66064 -0.21605
 0.17295  0.66144 -0.21213
 0.16308  0.66228 -0.20818
 0.15321  0.66317 -0.20420
 0.14334  0.66410 -0.20017
 0.13346  0.66506 -0.19610
 0.12358  0.66605 -0.19198
 0.11369  0.66706 -0.18782
 0.10379  0.66809 -0.18360
 0.09388  0.66914 -0.17933
 0.08396  0.67019 -0.17500
 0.07403  0.67124 -0.17060
 0.06408  0.67229 -0.16615
 0.05411  0.67332 -0.16163
 0.04412  0.67434 -0.15704
 0.03412  0.67534 -0.15238
 0.02409  0.67630 -0.14764
 0.01404  0.67722 -0.14283
 0.00397  0.67811 -0.13793
-0.00612  0.67894 -0.13295
-0.01623  0.67971 -0.12789
-0.02637  0.68043 -0.12274
-0.03653  0.68107 -0.11750
-0.04672  0.68164 -0.11217
-0.05693  0.68212 -0.10674
-0.06715  0.68252 -0.10122
-0.07740  0.68282 -0.09561
-0.08767  0.68302 -0.08989
-0.09795  0.68312 -0.08408
-0.10825  0.68311 -0.07817
-0.11856  0.68297 -0.07216
-0.12888  0.68272 -0.06604
-0.13921  0.68234 -0.05983
-0.14954  0.68182 -0.05351
-0.15988  0.68117 -0.04709
-0.17021  0.68038 -0.04057
-0.18054  0.67944 -0.03395
-0.19086  0.67836 -0.02723
-0.20116  0.67711 -0.02041
-0.21145  0.67572 -0.01349
-0.22171  0.67416 -0.00648
-0.23195  0.67244  0.00063
-0.24216  0.67055  0.00783
-0.25233  0.66850  0.01512
-0.26245  0.66628  0.02250
-0.27254  0.66388  0.02997
-0.28256  0.66131  0.03753
-0.29253  0.65857  0.04516
-0.30244  0.65566  0.05287
-0.31228  0.65256  0.06066
-0.32205  0.64930  0.06852
-0.33173  0.64585  0.07645
-0.34133  0.64223  0.08444
-0.35084  0.63844  0.09250
-0.36025  0.63447  0.10061
-0.36957  0.63033  0.10878
-0.37877  0.62602  0.11700
-0.38786  0.62154  0.12527
-0.39684  0.61688  0.13358
-0.40569  0.61207  0.14193
-0.41442  0.60709  0.15031
-0.42301  0.60194  0.15872
-0.43147  0.59664  0.16715
-0.43979  0.59118  0.17561
-0.44796  0.58557  0.18409
-0.45598  0.57981  0.19258
-0.46384  0.57390  0.20107
-0.47155  0.56785  0.20958
-0.47910  0.56166  0.21808
-0.48648  0.55534  0.22658
-0.49370  0.54888  0.23507
-0.50074  0.54229  0.24355
-0.50762  0.53558  0.25201
-0.51431  0.52875  0.26045
-0.52083  0.52180  0.26887
-0.52717  0.51473  0.27726
-0.53332  0.50756  0.28562
-0.53929  0.50029  0.29395
-0.54508  0.49291  0.30223
-0.55068  0.48543  0.31048
-0.55609  0.47786  0.31868
-0.56131  0.47021  0.32683
-0.56634  0.46246  0.33493
-0.57119  0.45464  0.34298
-0.57584  0.44673  0.35097
-0.58031  0.43875  0.35890
-0.58458  0.43070  0.36676
-0.58867  0.42259  0.37457
-0.59256  0.41440  0.38230
-0.59627  0.40616  0.38996
-0.59979  0.39786  0.39755
-0.60312  0.38950  0.40507
-0.60626  0.38109  0.41251
-0.60922  0.37263  0.41987
-0.61199  0.36412  0.42715
-0.61458  0.35557  0.43435
-0.61699  0.34698  0.44146
-0.61922  0.33835  0.44849
-0.62127  0.32968  0.45543
-0.62314  0.32098  0.46228
-0.62484  0.31224  0.46904
-0.62636  0.30348  0.47571
-0.62771  0.29468  0.48228
-0.62889  0.28586  0.48876
-0.62990  0.27702  0.49515
-0.63074  0.26815  0.50143
-0.63141  0.25927  0.50762
-0.63192  0.25036  0.51371
-0.63228  0.24144  0.51970
-0.63247  0.23250  0.52558
-0.63250  0.22355  0.53136
-0.63238  0.21459  0.53704
-0.63210  0.20562  0.54261
-0.63167  0.19665  0.54808
