    1000
 0.00727  0.00720 -0.00432
 0.01453  0.01440 -0.00864
 0.02906  0.02879 -0.01727
 0.04357  0.04316 -0.02589
 0.05805  0.05751 -0.03450
 0.07251  0.07183 -0.04310
 0.08692  0.08611 -0.05166
 0.10129  0.10034 -0.06020
 0.11560  0.11452 -0.06871
 0.12985  0.12864 -0.07718
 0.14404  0.14268 -0.08561
 0.15814  0.15666 -0.09399
 0.17216  0.17054 -0.10232
 0.18608  0.18434 -0.11060
 0.19990  0.19804 -0.11882
 0.21362  0.21163 -0.12697
 0.22722  0.22511 -0.13506
 0.24070  0.23847 -0.14307
 0.25405  0.25170 -0.15101
 0.26726  0.26481 -0.15887
 0.28033  0.27777 -0.16664
 0.29324  0.29059 -0.17432
 0.30600  0.30326 -0.18192
 0.31860  0.31577 -0.18941
 0.33102  0.32813 -0.19681
 0.34326  0.34031 -0.20410
 0.35532  0.35232 -0.21129
 0.36718  0.36416 -0.21837
 0.37885  0.37581 -0.22533
 0.39031  0.38728 -0.23218
 0.40156  0.39856 -0.23890
 0.41259  0.40965 -0.24551
 0.42340  0.42054 -0.25199
 0.43398  0.43123 -0.25834
 0.44432  0.44171 -0.26456
 0.45442  0.45199 -0.27064
 0.46427  0.46206 -0.27659
 0.47386  0.47192 -0.28240
 0.48320  0.48157 -0.28807
 0.49227  0.49101 -0.29359
 0.50107  0.50022 -0.29897
 0.50959  0.50923 -0.30421
 0.51783  0.51801 -0.30929
 0.52578  0.52658 -0.31423
 0.53344  0.53493 -0.31901
 0.54081  0.54306 -0.32363
 0.54787  0.55098 -0.32811
 0.55463  0.55868 -0.33242
 0.56107  0.56616 -0.33658
 0.56720  0.57343 -0.34058
 0.57301  0.58049 -0.34442
 0.57850  0.58733 -0.34811
 0.58366  0.59397 -0.35163
 0.58849  0.60040 -0.35499
 0.59298  0.60662 -0.35818
 0.59714  0.61264 -0.36122
 0.60095  0.61846 -0.36409
 0.60443  0.62409 -0.36680
 0.60755  0.62951 -0.36935
 0.61033  0.63475 -0.37174
 0.61276  0.63980 -0.37396
 0.61484  0.64467 -0.37603
 0.61656  0.64935 -0.37793
 0.61793  0.65386 -0.37966
 0.61894  0.65819 -0.38124
 0.61959  0.66236 -0.38266
 0.61989  0.66636 -0.38392
 0.61983  0.67019 -0.38501
 0.61941  0.67387 -0.38595
 0.61863  0.67739 -0.38674
 0.61749  0.68077 -0.38736
 0.61600  0.68400 -0.38783
 0.61415  0.68708 -0.38815
 0.61195  0.69003 -0.38831
 0.60939  0.69284 -0.38832
 0.60649  0.69552 -0.38817
 0.60323  0.69808 -0.38788
 0.59963  0.70051 -0.38744
 0.59569  0.70282 -0.38684
 0.59141  0.70502 -0.38611
 0.58679  0.70711 -0.38522
 0.58184  0.70909 -0.38419
 0.57656  0.71096 -0.38302
 0.57095  0.71273 -0.38171
 0.56503  0.71440 -0.38025
 0.55879  0.71598 -0.37866
